Fighter,Elo Rating
Benoit Saint Denis,1081.33
Tabatha Ricci,1081.03
Omari Akhmedov,1080.65
Chan Sung Jung,1080.59
Matt Hamill,1080.36
David Teymur,1080.25
Rani Yahya,1080.01
Alex Morono,1079.12
Jordan Johnson,1079.1
Ryan Hall,1078.82
Miranda Maverick,1078.61
Andre Petroski,1078.59
Thales Leites,1078.33
Bryan Battle,1077.92
Pedro Rizzo,1077.88
Mick Parkin,1077.72
Marcos Rogerio de Lima,1077.54
Rousimar Palhares,1077.07
Nicolas Dalby,1076.38
Ronda Rousey,1075.93
Krzysztof Jotko,1075.68
Mike Pierce,1075.61
Volkan Oezdemir,1075.45
Quinton Jackson,1075.44
Adrian Yanez,1075.12
Carlos Prates,1074.88
Rafael Fiziev,1074.67
Muslim Salikhov,1074.55
Alan Belcher,1074.38
Tracy Cortez,1074.16
Cheick Kongo,1074.1
Kai Kara-France,1073.88
Santiago Ponzinibbio,1073.72
Roger Huerta,1073.66
Ignacio Bahamondes,1073.2
Jiri Prochazka,1072.92
Thiago Santos,1072.19
Uriah Hall,1071.4
Dan Ige,1071.19
Dennis Siver,1071
Waldo Cortes-Acosta,1071
Nate Quarry,1070.83
Li Jingliang,1070.74
King Green,1070.58
Jean Silva,1070.23
Loma Lookboonmee,1069.63
Sage Northcutt,1069.55
Gerald Meerschaert,1069.35
Johny Hendricks,1069.29
Dominick Reyes,1069.18
Miles Johns,1068.93
Rashad Evans,1068.44
Ryan LaFlare,1068.42
Jared Rosholt,1068.19
Irene Aldana,1067.91
Joe Pyfer,1067.8
JunYong Park,1067.72
Al Iaquinta,1067.63
Mackenzie Dern,1067.12
Cody Garbrandt,1067.08
Sergio Pettis,1067.07
Jack Shore,1066.94
Matt Brown,1066.7
Brad Tavares,1066.65
Mike Swick,1066.26
Joanna Jedrzejczyk,1065.9
Kevin Lee,1064.65
Myles Jury,1064.61
Mike Davis,1064.59
Payton Talbott,1064.54
Aiemann Zahabi,1064.48
Brett Johns,1063.69
Paulo Costa,1063.67
Martin Buday,1063.61
Ricky Simon,1063.57
Rodolfo Vieira,1063.52
Shara Magomedov,1063.34
Daniel Marcos,1063.3
Farid Basharat,1062.82
Matthew Riddle,1062.75
Aleksandar Rakic,1062.7
Mark Bocek,1062.59
Tagir Ulanbekov,1062.51
Bo Nickal,1062.47
Chris Lytle,1062.17
Chael Sonnen,1062.11
Cub Swanson,1061.99
Matt Mitrione,1061.85
Alex Caceres,1061.54
Raul Rosas Jr.,1061.52
Jimmie Rivera,1061.37
Diego Sanchez,1061.27
Asu Almabayev,1061.19
Ricco Rodriguez,1060.9
Ruslan Magomedov,1060.85
Jens Pulver,1060.81
Jasmine Jasudavicius,1060.77
Chase Hooper,1060.5
William Gomis,1060.37
Sodiq Yusuff,1060.23
Jalin Turner,1060.18
Marina Rodriguez,1060.17
Marcus McGhee,1059.7
Lauren Murphy,1059.66
Chris Curtis,1059.62
Amanda Ribas,1059.06
Calvin Kattar,1058.92
Karo Parisyan,1058.84
Karol Rosa,1058.54
Fares Ziam,1058.5
Dustin Ortiz,1058.01
Matheus Nicolau,1057.96
Daniel Rodriguez,1057.91
Donald Cerrone,1057.89
Luke Rockhold,1057.83
Alonzo Menifield,1057.54
Drew Dober,1057.43
Leonardo Santos,1057.32
Alatengheili,1057.2
Taylor Lapilus,1057.15
Jeff Molina,1057.09
Rinya Nakamura,1057.04
Justin Willis,1056.89
Andre Lima,1056.8
John Dodson,1056.55
Nate Maness,1056.3
Vitor Petrino,1056.21
Eddie Alvarez,1055.96
Murilo Bustamante,1055.83
Dan Hardy,1055.66
Victor Henry,1055.43
Jerry Bohlander,1055.31
Evan Tanner,1055.26
Nik Lentz,1055.01
Guy Mezger,1054.85
Alejandro Perez,1054.78
Shane Carwin,1054.67
Jacare Souza,1054.37
Michael McDonald,1054.3
Damir Ismagulov,1053.87
Pedro Munhoz,1053.77
Mark Munoz,1053.75
James Vick,1053.53
Jaqueline Amorim,1053.14
Patrick Smith,1053.03
Tony Ferguson,1052.94
Alexandr Romanov,1052.8
Raphael Assuncao,1052.77
Alan Jouban,1052.72
Stevie Ray,1052.44
Chris Wade,1052.32
Renato Sobral,1052.15
Vinc Pichel,1051.84
Shawn Jordan,1051.76
Jussier Formiga,1051.14
Casey O'Neill,1050.9
Max Griffin,1050.89
Roman Kopylov,1050.32
Laverne Clark,1050.25
Thiago Tavares,1049.79
Nate Landwehr,1049.73
Tito Ortiz,1049.33
David Onama,1049.27
Francis Carmont,1049.06
Frank Mir,1049.02
Alex Perez,1048.64
Kyung Ho Kang,1048.63
Mike Malott,1048.61
Sergio Moraes,1048.52
Myktybek Orolbai,1048.37
Askar Askarov,1048.06
Jared Gordon,1048
Kurt Pellegrino,1047.94
Joshua Van,1047.94
Lorenz Larkin,1047.69
Gabriel Bonfim,1047.52
Esteban Ribovics,1047.4
Alexander Gustafsson,1047.34
John Moraga,1047.26
Ilir Latifi,1047.21
Claudia Gadelha,1046.84
Vinicius Oliveira,1046.66
Jon Madsen,1046.58
Stephan Bonnar,1046.49
Ray Borg,1046.32
Dean Lister,1046.3
Brady Hiestand,1046.02
Uros Medic,1045.97
Pat Sabatini,1045.97
Bryan Caraway,1045.77
Philipe Lins,1045.6
Casey Kenney,1045.53
Bas Rutten,1045.44
Ben Rothwell,1045.37
Sean Pierson,1045.33
Brunno Ferreira,1045.24
Raoni Barcelos,1045.18
Johnny Walker,1045.07
Nora Cornolle,1045
Adlan Amagov,1044.86
Julian Erosa,1044.68
Iasmin Lucindo,1044.62
Joel Sutton,1044.48
Nazim Sadykhov,1044.36
Andre Fili,1044.28
Aaron Simpson,1044.19
Carlston Harris,1044.06
Hyder Amil,1043.45
Jhonata Diniz,1043.32
Kevin Jousset,1043.3
Phillip Miller,1043.18
Chris Padilla,1043.15
Alberto Mina,1043.09
Enrique Barzola,1043.01
Michael Graves,1042.93
Julio Arce,1042.81
Jonathan Pearce,1042.72
Marco Ruas,1042.68
Joe Solecki,1042.59
Chris Holdsworth,1042.54
Mateusz Rebecki,1042.43
Luana Carolina,1042.18
Abel Trujillo,1042.16
Jesus Aguilar,1041.8
Danny Barlow,1041.7
Don Madge,1041.68
Brock Lesnar,1041.67
Charlie Campbell,1041.57
Edimilson Souza,1041.48
Dan Henderson,1041.42
HyunSung Park,1041.42
Jeremiah Wells,1041.4
Trey Waters,1041.25
Desmond Green,1041.15
Rodrigo Nascimento,1041.1
Christian Rodriguez,1041.07
Jake Shields,1041.06
Claude Patrick,1040.92
Gerald Harris,1040.88
Krzysztof Soszynski,1040.71
Manuel Torres,1040.65
Tainara Lisboa,1040.5
Constantinos Philippou,1040.39
Alex Hunter,1040.15
Muhammad Naimov,1039.92
Bruno Silva,1039.81
Ovince Saint Preux,1039.72
Darren Till,1039.7
Antonio Carlos Junior,1039.57
Melvin Guillard,1039.42
Tom Breese,1039.3
Makhmud Muradov,1039.09
Viscardi Andrade,1039.07
Luis Pena,1039.05
Loopy Godinez,1039.03
Paul Daley,1038.92
Josefine Knutsson,1038.85
Luana Santos,1038.7
Travis Browne,1038.25
Claudio Puelles,1038.08
Oban Elliott,1038.02
Mark Madsen,1038.01
Javid Basharat,1037.99
Jacqueline Cavalcanti,1037.69
Matt Frevola,1037.57
Gray Maynard,1037.46
George Sotiropoulos,1037.41
Manel Kape,1037.3
Arjan Bhullar,1037.23
Ronaldo Rodriguez,1037.21
Youssef Zalal,1037.2
Marcus Davis,1037.03
Albert Tumenov,1036.88
Cezar Ferreira,1036.77
Themba Gorimbo,1036.76
Josh Koscheck,1036.73
Diego Brandao,1036.71
Magnus Cedenblad,1036.26
Vladimir Matyushenko,1036.13
Thiago Moises,1036.12
Olivier Aubin-Mercier,1036.06
Paul Craig,1036.06
Taila Santos,1035.89
Zubaira Tukhugov,1035.68
Ricardo Almeida,1035.24
Billy Quarantillo,1035.21
Patrick Cote,1035.11
Hakeem Dawodu,1035.09
Jordan Mein,1034.99
Iuri Alcantara,1034.96
Jeremy Kennedy,1034.96
Melsik Baghdasaryan,1034.77
Ikram Aliskerov,1034.7
Norman Parke,1034.61
Wilson Gouveia,1034.5
Jack Jenkins,1034.36
Charles Johnson,1034.18
Brian Ebersole,1034.14
Joe Lauzon,1034.12
Claudio Silva,1034.12
Dennis Bermudez,1034.05
JJ Aldrich,1034.05
David Terrell,1033.88
Nicolae Negumereanu,1033.59
Ailin Perez,1033.5
Davi Ramos,1033.29
Jorge Rivera,1032.93
Jacob Volkmann,1032.82
Holly Holm,1032.79
Rafa Garcia,1032.7
Ali Bagautinov,1032.33
Niko Price,1032.17
Jeff Monson,1032.09
Vanessa Demopoulos,1031.75
Maurice Smith,1031.65
Miesha Tate,1031.63
Ryan Spann,1031.51
Mike Russow,1031.42
Ricardo Ramos,1031.36
Ramazan Emeev,1031.31
Johnny Case,1031.3
Ken Shamrock,1031.2
Daniel Kelly,1031.08
Karl Williams,1031.05
Evan Dunham,1030.07
Tim Kennedy,1030.04
Nursulton Ruziboev,1029.94
Cody Durden,1029.69
Gleison Tibau,1029.68
Tecia Pennington,1029.54
Mark Coleman,1029.48
John Castaneda,1029.22
Curtis Millender,1028.64
Carlos Condit,1028.5
Sergey Khandozhko,1028.48
Bogdan Guskov,1028.43
Denise Gomes,1028.41
Drew Fickett,1028.37
Douglas Silva de Andrade,1028.36
Nina Nunes,1028.33
Hermes Franca,1028.21
Jacob Malkoun,1027.97
Cathal Pendred,1027.65
Felipe Lima,1027.4
Jafel Filho,1027.34
Shamil Gaziev,1027.33
Adriano Martins,1027.24
Ismael Bonfim,1027.22
Daniel Santos,1027.21
Lucas Martins,1027.13
Mayra Bueno Silva,1027.06
Kevin Randleman,1026.96
Dooho Choi,1026.91
Kayla Harrison,1026.91
Damon Jackson,1026.89
CB Dollaway,1026.85
Song Kenan,1026.77
Khalid Murtazaliev,1026.5
Michael Chandler,1026.44
Magomed Mustafaev,1026.39
Allan Nascimento,1026.35
Dustin Jacoby,1026.26
John Makdessi,1026.17
Mirsad Bektic,1025.87
Sanae Kikuta,1025.84
Melissa Gatto,1025.74
Isaac Dulgarian,1025.74
Sara McMann,1025.73
Tom Lawlor,1025.64
Christian Leroy Duncan,1025.47
Saidyokub Kakhramonov,1025.43
Che Mills,1025.17
Todd Duffee,1025.13
Mark Hunt,1025.12
Paul Sass,1025.09
Steve Erceg,1024.83
Ikuhisa Minowa,1024.63
Genki Sudo,1024.57
Mark Schultz,1024.52
Lee Murray,1024.41
Brendan Schaub,1024.33
Viviane Araujo,1024.3
Dmitry Sosnovskiy,1024.23
Jennifer Maia,1024.17
Brian Foster,1024.1
Nick Diaz,1023.98
Jonny Parsons,1023.97
Karolina Kowalkiewicz,1023.95
Fernando Padilla,1023.91
Ketlen Souza,1023.83
Thiago Alves,1023.8
Aspen Ladd,1023.76
Maiquel Falcao,1023.67
Mauricio Ruffy,1023.61
Kenichi Yamamoto,1023.56
Remco Pardoel,1023.48
Mark Hall,1023.47
Trey Ogden,1023.47
Matt Serra,1023.31
Jean Matsumoto,1023.17
Gerard Gordeau,1023
Frank Hamaker,1023
Jon Hess,1023
Onassis Parungao,1023
Rafael Carino,1023
Justin Martin,1023
Enson Inoue,1023
Kazushi Sakuraba,1023
Cesar Marscucci,1023
Tulio Palhares,1023
Sione Latu,1023
Marcelo Mello,1023
Scott Adams,1023
Bob Cook,1023
Jonathan Wiezorek,1023
Tom Murphy,1023
Aliaskhab Khizriev,1023
Zhang Mingyang,1023
Oumar Sy,1023
Mairon Santos,1023
Ryan Loder,1023
Nathan Fletcher,1023
Timur Valiev,1022.94
Mikey Burnett,1022.77
Kajan Johnson,1022.71
Nordine Taleb,1022.7
Yanal Ashmouz,1022.59
Caio Magalhaes,1022.48
Juan Espino,1022.22
Rodolfo Bellato,1022.08
Davey Grant,1022.07
Ed Herman,1022.05
Steve Nelmark,1021.88
Ebenezer Fontes Braga,1021.68
Chad Laprise,1021.68
Clayton Carpenter,1021.65
Tim Boetsch,1021.61
Elves Brener,1021.59
Steve Bosse,1021.49
Danny Silva,1021.43
Steve Jennum,1021.39
Ariane Carnelossi,1021.39
Sam Patterson,1021.37
Scott Ferrozzo,1021.3
Leslie Smith,1021.26
Daniel Zellhuber,1021.26
Javier Vazquez,1021.25
Daria Zhelezniakova,1021.22
Stephanie Luciano,1021.15
Timothy Johnson,1021.06
Aleksei Oleinik,1021
Tim Credeur,1020.95
Brian Stann,1020.81
Tom Duquesnoy,1020.61
Felicia Spencer,1020.59
Wang Guan,1020.57
Ronnie Lawrence,1020.41
Johnny Rhodes,1020.25
Wang Cong,1020.24
Abdul-Kerim Edilov,1020.16
Wilson Reis,1020.05
Zachary Reese,1020.03
Yoshiki Takahashi,1020
Ben Earwood,1020
Mark Hughes,1020
Logan Clark,1020
Lyman Good,1020
Ramon Taveras,1020
Bolaji Oki,1020
Victor Hugo,1020
ChangHo Lee,1020
Carlos Felipe,1019.95
Rei Tsuruya,1019.76
Ian Freeman,1019.74
Wanderlei Silva,1019.66
Mike Kyle,1019.54
Ariane da Silva,1019.52
Nurullo Aliev,1019.4
Montana De La Rosa,1019.39
Aisling Daly,1019.36
Alexis Davis,1019.31
Kennedy Nzechukwu,1019.22
Ibo Aslan,1019.18
Rafael Estevam,1019.01
MarQuel Mederos,1018.99
Puja Tomar,1018.85
Veronica Hardy,1018.82
Tim Means,1018.81
