Rank,Map Name,Agent Name,alias,Year,Quarter,Month,Day,Sum of Ultimate Casts,Sum of TRN Performance Score,Sum of Traded,Sum of Thrifty,Sum of Team Aces,Sum of Rounds Won,Sum of Rounds Played,Sum of Rounds Lost,Sum of Round Ratio,Sum of Plants,Sum of Placement,Sum of Match Result Binary,Sum of KD Ratio,Sum of Last Deaths,Sum of Kills,Sum of KAST,Sum of Headshots Percentage,Sum of Headshots,Sum of Flawless,Sum of Grenade Casts,Sum of First Bloods,Sum of First Deaths,Sum of Ability 1 Casts,Sum of Ability 2 Casts,Sum of Assists,Sum of Clutches,Sum of Damage,Sum of Damage Delta Per Round,Sum of Damage Per Round,Sum of Damage Received,Sum of Dealt Bodyshots,Sum of Dealt Headshots,Sum of Deaths,Sum of Defuses,Sum of Econ Rating,Match Result
Gold 2,Icebox,Sova,sp1cyn00dz,2022,Qtr 4,December,13,4,529,8,5,13,14,30,16,0.875,1,7,0,0.7083333333333334,5,17,77,25,13,0,8,0,4,18,34,10,1,3588,-20.4,119.6,4200,37,14,24,1,40,defeat
Gold 2,Icebox,Sova,sp1cyn00dz,2024,Qtr 1,February,3,4,838,2,6,13,13,21,8,1.625,1,3,1,1.4615384615384615,2,19,81,29.78723404255319,13,0,5,2,2,9,18,7,1,3573,46.285714285714285,170.14285714285714,2601,33,14,13,0,89,victory
Gold 2,Lotus,Omen,sp1cyn00dz,2023,Qtr 2,May,1,4,327,2,2,7,11,24,13,0.846153846153846,3,9,0,0.7222222222222222,5,13,67,25.49019607843137,7,1,2,3,4,8,35,7,0,2425,-43.416666666666664,101.04166666666667,3467,36,13,18,1,39,defeat
Gold 2,Lotus,Raze,justsimple,2024,Qtr 2,May,5,4,1525,10,6,16,26,36,10,6.190476190476191,1,7,2,2.447058823529412,2,29,175,32.06954335986594,16,0,28,6,5,31,31,14,0,5887,38.8375,334.5625,5345,101,23,27,1,140,victory
Gold 2,Lotus,Raze,justsimple,2024,Qtr 3,August,13,4,821,2,6,10,13,22,9,1.44444444444444,0,2,1,1.3125,2,21,77,15.625,10,0,16,3,2,13,19,12,0,4147,36.63636363636363,188.5,3341,74,15,16,0,69,victory
Gold 2,Pearl,Fade,justsimple,2023,Qtr 1,January,13,4,721,4,2,6,13,24,11,1.18181818181818,4,5,1,1.6923076923076923,3,22,79,8.75,6,2,33,0,1,6,34,7,1,3248,24.041666666666668,135.33333333333334,2671,63,7,13,1,51,victory
Gold 2,Pearl,KAY/O,justsimple,2022,Qtr 3,July,29,4,661,6,5,14,13,28,15,0.866666666666667,0,4,0,1.0476190476190477,2,22,75,19.148936170212767,14,0,10,7,1,33,42,8,1,4524,9.964285714285714,161.57142857142858,4245,67,18,21,0,60,defeat
Gold 2,Pearl,Omen,justsimple,2023,Qtr 3,July,7,4,720,4,5,14,13,24,11,1.18181818181818,1,4,1,1,4,20,79,26.027397260273972,14,2,6,0,1,10,39,9,0,3829,8.666666666666666,159.54166666666666,3621,50,19,20,1,66,victory
Gold 2,Pearl,Phoenix,sp1cyn00dz,2022,Qtr 4,December,11,4,321,3,1,9,11,24,13,0.846153846153846,0,7,0,0.7142857142857143,3,15,58,14.285714285714285,9,0,0,3,4,16,3,2,0,3091,-47.083333333333336,128.79166666666666,4221,47,9,21,0,44,defeat
Gold 2,Pearl,Sova,sp1cyn00dz,2022,Qtr 4,December,9,4,770,4,5,11,10,23,13,0.769230769230769,0,2,0,1.0526315789473684,3,20,87,16.43835616438356,11,0,4,3,2,12,23,6,2,3787,19.08695652173913,164.65217391304347,3348,57,12,19,1,60,defeat
Gold 2,Split,Brimstone,pphead,2021,Qtr 2,May,5,4,568,6,5,10,13,22,9,1.44444444444444,4,7,1,0.875,1,14,68,28.205128205128204,10,1,11,1,1,17,48,10,1,2910,10.590909090909092,132.27272727272728,2677,26,11,16,1,58,victory
Gold 2,Split,Gekko,justsimple,2023,Qtr 3,August,4,4,784,4,6,11,13,22,9,1.44444444444444,6,4,1,1.25,2,20,82,20.833333333333336,11,2,8,1,2,10,17,7,0,3144,8.5,142.9090909090909,2957,51,15,16,0,51,victory
Gold 2,Split,Jett,justsimple,2024,Qtr 1,March,29,4,833,7,11,16,14,28,14,1,0,1,0.5,1.2727272727272727,2,28,82,16.49484536082474,16,0,26,5,5,5,28,5,0,5105,33.357142857142854,182.32142857142858,4171,74,16,22,0,71,tied
Gold 2,Split,Raze,justsimple,2024,Qtr 2,May,13,4,905,6,6,6,9,22,13,0.692307692307692,1,1,0,1.5625,1,25,91,9.900990099009901,6,0,16,4,3,19,21,10,0,4621,77.0909090909091,210.04545454545453,2925,88,10,16,0,88,defeat
Gold 2,Split,Raze,shift,2021,Qtr 1,March,26,4,574,2,2,7,10,23,13,0.769230769230769,1,9,0,0.8333333333333334,3,15,78,11.864406779661017,7,0,16,1,2,7,15,6,3,3027,0.9130434782608695,131.6086956521739,3006,52,7,18,0,49,defeat
Gold 2,Split,Raze,shift,2021,Qtr 1,March,27,4,685,2,3,8,5,18,13,0.384615384615385,0,3,0,1.0625,3,17,78,12.5,8,1,12,2,1,9,17,1,1,3209,24.22222222222222,178.27777777777777,2773,59,9,16,1,64,defeat
Gold 2,Split,Sova,sp1cyn00dz,2023,Qtr 2,May,8,4,598,2,6,10,11,24,13,0.846153846153846,1,3,0,1.105263157894737,7,21,62,17.28395061728395,10,0,5,2,2,4,29,4,2,3935,35.791666666666664,163.95833333333334,3076,63,14,19,0,71,defeat
Gold 2,Sunset,Gekko,justsimple,2024,Qtr 3,August,24,4,670,3,4,9,13,21,8,1.625,3,7,1,0.9230769230769231,2,12,86,22.916666666666664,9,1,9,2,2,7,20,12,1,2476,-3,117.9047619047619,2539,34,11,13,2,50,victory
Gold 2,Sunset,Phoenix,sp1cyn00dz,2024,Qtr 3,September,11,4,496,1,4,9,13,20,7,1.85714285714286,1,6,1,1,4,14,75,19.565217391304348,9,2,2,1,1,6,8,3,1,2366,-61,118.3,3586,35,9,14,1,51,victory
Gold 2,Sunset,Raze,justsimple,2024,Qtr 2,May,13,4,553,1,2,3,11,24,13,0.846153846153846,0,4,0,1,1,17,71,8.450704225352112,3,3,18,2,3,27,23,5,0,2927,10.625,121.95833333333333,2672,56,6,17,0,56,defeat
Gold 2,Sunset,Raze,justsimple,2024,Qtr 3,July,25,4,203,2,4,4,6,19,13,0.461538461538462,2,8,0,0.8,2,12,58,10,4,0,8,0,1,7,12,1,1,1882,-53.421052631578945,99.05263157894737,2897,41,5,15,1,40,defeat
Gold 2,Sunset,Yoru,justsimple,2024,Qtr 1,February,18,4,336,2,4,7,8,21,13,0.615384615384615,0,6,0,0.7222222222222222,2,13,48,14.0625,7,1,16,2,4,22,28,4,1,2867,-15.095238095238095,136.52380952380952,3184,43,9,18,0,51,defeat
Gold 3,Ascent,Omen,sp1cyn00dz,2023,Qtr 4,December,2,4,707,2,2,4,13,23,10,1.3,1,6,1,1.3333333333333333,4,20,74,9.523809523809524,4,0,6,2,1,3,48,3,1,3268,37.47826086956522,142.08695652173913,2406,36,4,15,1,68,victory
Gold 3,Ascent,Phoenix,sp1cyn00dz,2024,Qtr 2,April,10,4,259,4,8,9,13,24,11,1.18181818181818,0,9,1,0.7058823529411765,0,12,58,30.555555555555557,9,0,0,2,3,13,5,4,1,2394,-54.583333333333336,99.75,3704,22,11,17,1,46,victory
Gold 3,Ascent,Phoenix,sp1cyn00dz,2024,Qtr 2,May,12,4,368,6,6,7,11,24,13,0.846153846153846,0,8,0,0.7894736842105263,0,15,71,14.035087719298245,7,0,1,1,1,8,5,6,1,2869,-58.708333333333336,119.54166666666667,4278,48,8,19,0,50,defeat
Gold 3,Ascent,Raze,shift,2021,Qtr 2,May,6,4,345,3,6,4,8,21,13,0.615384615384615,2,9,0,0.75,5,12,62,8.51063829787234,4,1,14,2,0,5,20,4,0,2529,-8.238095238095237,120.42857142857143,2702,39,4,16,0,60,defeat
Gold 3,Ascent,Skye,justsimple,2023,Qtr 3,July,6,4,277,7,5,7,14,30,16,0.875,1,10,0,0.4583333333333333,3,11,67,13.461538461538462,7,1,4,1,7,20,49,15,0,2514,-60.56666666666667,83.8,4331,44,7,24,0,29,defeat
Gold 3,Ascent,Skye,justsimple,2023,Qtr 3,July,30,4,743,2,3,9,11,24,13,0.846153846153846,0,3,0,1.8571428571428572,2,26,75,15.384615384615385,9,0,1,3,5,18,45,7,1,4148,51.333333333333336,172.83333333333334,2916,62,12,14,2,86,defeat
Gold 3,Ascent,Skye,justsimple,2023,Qtr 3,August,2,4,312,4,4,6,9,22,13,0.692307692307692,3,9,0,0.7647058823529411,6,13,64,12.962962962962962,6,0,4,0,1,9,34,6,1,2271,-37.77272727272727,103.22727272727273,3102,42,7,17,2,41,defeat
Gold 3,Ascent,Sova,justsimple,2023,Qtr 3,September,10,4,701,3,6,4,11,24,13,0.846153846153846,2,3,0,1.1176470588235294,6,19,75,9.411764705882353,4,0,7,0,3,39,32,9,1,4016,34.416666666666664,167.33333333333334,3190,75,8,17,0,70,defeat
Gold 3,Bind,Brimstone,pphead,2021,Qtr 2,May,14,4,522,5,6,9,8,21,13,0.615384615384615,1,8,0,0.9411764705882353,2,16,76,26.82926829268293,9,0,8,2,1,12,43,3,1,2598,-5.523809523809524,123.71428571428571,2714,27,11,17,1,53,defeat
Gold 3,Bind,Cypher,silver,2024,Qtr 1,February,12,4,591,1,7,11,11,24,13,0.846153846153846,1,5,0,1.125,2,18,71,15.294117647058824,11,0,33,2,1,28,16,4,1,3360,16.541666666666668,140,2963,60,13,16,3,60,defeat
Gold 3,Bind,Omen,sp1cyn00dz,2023,Qtr 2,June,26,4,448,1,4,6,13,24,11,1.18181818181818,0,10,1,1.1538461538461537,3,15,75,16.666666666666664,6,1,3,0,2,14,41,7,0,1984,-23.208333333333332,82.66666666666667,2541,31,7,13,1,35,victory
Gold 3,Bind,Omen,sp1cyn00dz,2024,Qtr 1,January,24,4,313,4,7,8,12,38,26,0.9230769230769229,2,17,0,0.7333333333333333,4,13,103,17.391304347826086,8,0,11,1,4,8,55,9,0,3110,-137.61904761904762,155.60224089635855,5624,55,8,33,1,61,defeat
Gold 3,Bind,Omen,sp1cyn00dz,2024,Qtr 1,February,14,4,797,4,3,9,13,18,5,2.6,3,5,1,1.2727272727272727,3,14,83,19.607843137254903,9,1,4,2,0,4,25,6,1,2980,48,165.55555555555554,2116,39,10,11,0,80,victory
Gold 3,Bind,Phoenix,sp1cyn00dz,2023,Qtr 4,December,2,4,562,3,4,8,13,17,4,3.25,0,7,1,1.1,0,11,71,27.77777777777778,8,0,2,3,1,13,4,4,1,2353,-0.17647058823529413,138.41176470588235,2356,26,10,10,2,63,victory
Gold 3,Bind,Phoenix,sp1cyn00dz,2024,Qtr 2,April,16,4,596,1,4,8,13,18,5,2.6,0,6,1,1.1,0,11,72,17.77777777777778,8,2,1,3,2,5,2,4,0,2412,1.5,134,2385,35,8,10,1,60,victory
Gold 3,Bind,Phoenix,sp1cyn00dz,2024,Qtr 2,May,28,4,563,0,3,5,13,16,3,4.33333333333333,0,7,1,1.8,0,9,75,18.51851851851852,5,2,1,1,1,7,4,1,0,1443,22.625,90.1875,1081,21,5,5,0,45,victory
Gold 3,Bind,Skye,justsimple,2023,Qtr 3,August,21,4,530,2,3,9,11,24,13,0.846153846153846,1,5,0,0.8888888888888888,2,16,71,14.492753623188406,9,1,4,1,2,16,41,10,0,3302,5.708333333333333,137.58333333333334,3165,56,10,18,0,51,defeat
Gold 3,Bind,Sova,sp1cyn00dz,2022,Qtr 4,October,28,4,826,4,4,23,15,30,15,1,0,3,0.5,1.3636363636363635,2,30,80,32.89473684210527,23,1,7,2,1,9,35,10,0,5700,47,190,4290,48,25,22,0,64,tied
Gold 3,Bind,Sova,sp1cyn00dz,2023,Qtr 2,June,22,4,771,1,6,12,13,22,9,1.44444444444444,0,4,1,1.75,1,21,77,29.78723404255319,12,2,10,2,0,5,29,7,1,3474,27.136363636363637,157.9090909090909,2877,33,14,12,0,64,victory
Gold 3,Breeze,KAY/O,justsimple,2022,Qtr 3,August,6,4,335,3,6,6,14,26,12,1.16666666666667,0,6,1,0.5652173913043478,3,13,50,8.974358974358974,6,2,9,4,4,16,24,10,0,3319,-39.76923076923077,127.65384615384616,4353,61,7,23,0,44,victory
Gold 3,Breeze,Skye,justsimple,2023,Qtr 4,October,5,4,875,2,5,10,13,23,10,1.3,0,3,1,1.4666666666666666,3,22,83,16.25,10,0,4,0,0,13,43,14,4,4032,51.78260869565217,175.30434782608697,2841,59,13,15,1,68,victory
Gold 3,Breeze,Sova,sp1cyn00dz,2024,Qtr 2,May,20,4,394,1,5,10,14,28,14,1,1,8,0.5,0.875,3,14,61,20.408163265306122,10,1,6,1,2,10,24,6,1,3080,8.285714285714286,110,2848,36,10,16,1,44,tied
Gold 3,Fracture,Breach,sp1cyn00dz,2022,Qtr 4,December,2,4,199,1,5,4,9,22,13,0.692307692307692,0,9,0,0.5625,2,9,59,13.88888888888889,4,1,7,0,1,16,27,6,1,1777,-46.22727272727273,80.77272727272727,2794,28,5,16,1,34,defeat
Gold 3,Fracture,Brimstone,crocodiledundii,2023,Qtr 3,August,14,4,876,3,6,19,15,28,13,1.15384615384615,7,1,1,1.3333333333333333,4,28,82,32.758620689655174,19,2,16,4,3,16,70,9,0,5312,69.14285714285714,189.71428571428572,3376,36,19,21,0,64,victory
Gold 3,Fracture,Chamber,a1ex,2023,Qtr 1,January,20,4,880,5,6,16,11,24,13,0.846153846153846,2,1,0,1.2105263157894737,2,23,83,22.857142857142858,16,0,23,9,2,8,8,6,0,5254,81.16666666666667,218.91666666666666,3306,52,16,19,0,89,defeat
Gold 3,Fracture,Chamber,sp1cyn00dz,2023,Qtr 1,March,3,4,509,5,5,11,10,23,13,0.769230769230769,1,5,0,1,2,18,70,18.181818181818183,11,0,15,1,5,1,3,5,0,3141,-11.521739130434783,136.56521739130434,3406,49,12,18,1,62,defeat
Gold 3,Fracture,Phoenix,a1ex,2023,Qtr 1,January,30,4,919,3,6,12,13,18,5,2.6,1,3,1,2,1,16,89,26.923076923076923,12,2,3,1,1,21,16,7,1,3207,63.55555555555556,178.16666666666666,2063,33,14,8,1,80,victory
Gold 3,Fracture,Phoenix,sp1cyn00dz,2023,Qtr 1,March,27,4,548,2,5,4,13,16,3,4.33333333333333,1,7,1,1.25,1,10,81,11.627906976744185,4,1,1,2,2,10,4,1,0,1721,-36.6875,107.5625,2308,32,5,8,1,53,victory
Gold 3,Fracture,Phoenix,sp1cyn00dz,2023,Qtr 2,April,10,4,475,1,2,7,13,19,6,2.16666666666667,0,5,1,1.5833333333333333,1,19,58,12.962962962962962,7,0,4,1,2,19,7,2,1,2302,-32.31578947368421,121.15789473684211,2916,41,7,12,0,44,victory
Gold 3,Fracture,Phoenix,sp1cyn00dz,2023,Qtr 2,June,14,4,582,2,3,7,13,17,4,3.25,0,6,1,1.1111111111111112,0,10,76,20,7,2,2,2,1,7,5,4,0,1947,-2.588235294117647,114.52941176470588,1991,26,7,9,0,52,victory
Gold 3,Haven,Chamber,sp1cyn00dz,2022,Qtr 4,October,22,4,339,4,5,9,11,24,13,0.846153846153846,0,7,0,0.8333333333333334,4,15,62,25,9,0,17,5,2,2,4,1,1,2680,-24.333333333333332,111.66666666666667,3264,28,10,18,0,47,defeat
Gold 3,Haven,Killjoy,a1ex,2023,Qtr 1,January,16,4,606,3,8,7,11,24,13,0.846153846153846,1,5,0,1.0588235294117647,3,18,75,10.144927536231885,7,0,41,2,3,16,14,4,1,3467,2.4166666666666665,144.45833333333334,3409,115,14,17,1,51,defeat
Gold 3,Haven,Phoenix,pphead,2021,Qtr 2,June,5,4,532,2,4,10,9,22,13,0.692307692307692,1,3,0,1.1333333333333333,2,17,68,20.689655172413794,10,0,5,2,5,28,14,5,1,3005,8.954545454545455,136.5909090909091,2808,42,12,15,0,61,defeat
Gold 3,Haven,Sova,sp1cyn00dz,2023,Qtr 1,March,13,4,864,2,3,11,13,19,6,2.16666666666667,0,3,1,1.9,2,19,89,28.57142857142857,11,3,4,3,0,3,13,5,0,2669,30.842105263157894,140.47368421052633,2083,27,12,10,0,59,victory
Gold 3,Icebox,Breach,sp1cyn00dz,2022,Qtr 4,October,22,4,499,3,4,9,13,23,10,1.3,0,7,1,1,2,16,74,18.181818181818183,9,1,6,1,2,18,17,8,2,2606,-34.95652173913044,113.30434782608695,3410,41,10,16,0,44,victory
Gold 3,Icebox,Sova,justsimple,2024,Qtr 3,August,26,4,360,3,7,2,14,26,12,1.16666666666667,1,9,1,0.7777777777777778,5,14,65,8,2,0,15,0,0,27,43,8,0,2540,-28.192307692307693,97.6923076923077,3273,43,4,18,5,37,victory
Gold 3,Icebox,Sova,sp1cyn00dz,2022,Qtr 4,October,25,4,954,3,6,16,13,24,11,1.18181818181818,2,1,1,1.45,7,29,92,22.22222222222222,16,0,6,1,1,4,23,7,1,5276,70.54166666666667,219.83333333333334,3583,59,18,20,1,78,victory
Gold 3,Icebox,Sova,sp1cyn00dz,2022,Qtr 4,December,1,4,543,1,3,12,5,18,13,0.384615384615385,0,3,0,1,2,17,61,20.3125,12,0,1,1,0,0,13,5,0,3370,18.944444444444443,187.22222222222223,3029,49,13,17,1,73,defeat
Gold 3,Icebox,Sova,sp1cyn00dz,2023,Qtr 1,March,19,4,433,2,3,10,9,22,13,0.692307692307692,1,4,0,1,3,18,59,16.666666666666664,10,0,6,2,0,5,19,4,0,3392,-10.181818181818182,154.1818181818182,3616,54,11,18,0,59,defeat
Gold 3,Icebox,Sova,sp1cyn00dz,2023,Qtr 2,April,2,4,604,2,5,10,15,28,13,1.15384615384615,2,5,1,1,5,19,75,18.181818181818183,10,1,7,4,0,12,19,8,1,3765,4.214285714285714,134.46428571428572,3647,51,12,19,0,47,victory
Gold 3,Lotus,Fade,justsimple,2024,Qtr 3,September,8,4,403,1,9,9,13,24,11,1.18181818181818,2,8,1,0.6666666666666666,4,14,67,19.11764705882353,9,0,30,0,2,12,31,8,0,3025,-45,126.04166666666667,4105,49,13,21,0,47,victory
Gold 3,Lotus,Jett,justsimple,2024,Qtr 2,May,23,4,755,8,11,9,26,47,21,2.48181818181818,0,14,2,1.5238095238095237,5,29,123,18.727272727272727,9,3,28,3,7,8,35,9,2,5061,-75.3623188405797,215.6485507246377,6850,84,10,39,1,80,victory
Gold 3,Lotus,Omen,sp1cyn00dz,2023,Qtr 2,June,25,4,743,2,5,12,14,26,12,1.16666666666667,4,3,1,1.1,7,22,77,14.606741573033707,12,1,6,1,0,15,41,11,0,4162,21.346153846153847,160.07692307692307,3607,74,13,20,1,52,victory
Gold 3,Pearl,Brimstone,shift,2023,Qtr 1,January,20,4,681,2,6,9,13,22,9,1.44444444444444,10,7,1,1.0833333333333333,1,13,86,39.473684210526315,9,1,11,3,1,7,48,10,1,2512,9,114.18181818181819,2314,21,15,12,0,48,victory
Gold 3,Pearl,Chamber,sp1cyn00dz,2023,Qtr 1,March,6,4,509,1,5,8,9,22,13,0.692307692307692,0,6,0,1.2142857142857142,4,17,73,21.62162162162162,8,0,18,4,2,6,3,0,0,2447,-6.136363636363637,111.22727272727273,2582,27,8,14,0,54,defeat
Gold 3,Pearl,Killjoy,justsimple,2023,Qtr 3,July,24,4,753,2,6,14,11,24,13,0.846153846153846,0,1,0,1.5294117647058822,2,26,71,15,14,2,21,2,4,17,13,5,1,4796,71.66666666666667,199.83333333333334,3076,97,18,17,0,82,defeat
Gold 3,Pearl,Skye,justsimple,2023,Qtr 3,August,15,4,771,3,2,9,13,24,11,1.18181818181818,3,4,1,1.4285714285714286,0,20,79,18.055555555555554,9,1,3,4,2,14,41,17,0,3460,42.083333333333336,144.16666666666666,2450,51,13,14,1,59,victory
Gold 3,Split,Brimstone,sp1cyn00dz,2023,Qtr 1,March,6,4,148,2,6,7,8,21,13,0.615384615384615,0,9,0,0.5263157894736842,2,10,33,28.125,7,0,0,1,3,1,18,2,0,2019,-64.0952380952381,96.14285714285714,3365,18,9,19,0,37,defeat
Gold 3,Split,Brimstone,sp1cyn00dz,2023,Qtr 1,March,27,4,531,2,3,15,13,23,10,1.3,2,7,1,1.3333333333333333,5,20,65,36.17021276595745,15,2,2,3,0,4,29,4,1,2962,-5.260869565217392,128.7826086956522,3083,29,17,15,0,53,victory
Gold 3,Split,Brimstone,sp1cyn00dz,2023,Qtr 2,June,26,4,276,2,6,6,10,23,13,0.769230769230769,2,8,0,0.6666666666666666,3,12,65,15.384615384615385,6,1,2,0,0,8,49,4,0,2190,-49.52173913043478,95.21739130434783,3329,30,6,18,2,36,defeat
Gold 3,Split,Omen,sp1cyn00dz,2024,Qtr 2,April,16,4,397,6,4,2,13,24,11,1.18181818181818,0,10,1,0.6666666666666666,2,14,75,5.88235294117647,2,1,1,3,3,5,45,6,0,2051,-73.875,85.45833333333333,3824,40,3,21,0,35,victory
Gold 3,Split,Phoenix,crocodiledundii,2023,Qtr 3,August,18,4,490,2,0,11,3,16,13,0.230769230769231,1,2,0,1,4,16,69,26.08695652173913,11,1,6,4,1,17,11,2,0,2775,-25.4375,173.4375,3182,34,12,16,0,64,defeat
Gold 3,Split,Phoenix,sp1cyn00dz,2023,Qtr 2,June,11,4,176,2,4,7,9,22,13,0.692307692307692,0,10,0,0.6470588235294118,1,11,50,19.565217391304348,7,1,2,1,3,10,4,2,0,2309,-55.68181818181818,104.95454545454545,3534,34,9,17,1,42,defeat
Gold 3,Split,Sova,sp1cyn00dz,2023,Qtr 1,March,1,4,480,2,4,9,13,24,11,1.18181818181818,5,9,1,0.7647058823529411,4,13,75,19.607843137254903,9,1,6,2,2,8,25,4,1,2753,-17.541666666666668,114.70833333333333,3174,37,10,17,0,48,victory
Gold 3,Sunset,Cypher,silver,2024,Qtr 1,January,19,4,753,5,3,6,13,23,10,1.3,1,3,1,1.5714285714285714,1,22,74,9.876543209876543,6,1,35,1,3,35,21,7,0,3321,41.95652173913044,144.3913043478261,2356,63,8,14,1,67,victory
Gold 3,Sunset,Fade,justsimple,2023,Qtr 3,September,18,4,524,2,5,8,11,24,13,0.846153846153846,1,5,0,0.8,2,16,75,19.35483870967742,8,0,34,2,1,9,29,13,0,3031,-27.291666666666668,126.29166666666667,3686,47,12,20,0,45,defeat
Gold 3,Sunset,Phoenix,sp1cyn00dz,2024,Qtr 1,February,13,4,196,4,5,4,13,24,11,1.18181818181818,0,10,1,0.5555555555555556,1,10,58,11.428571428571429,4,0,3,3,3,4,6,0,0,1752,-93.125,73,3987,29,4,18,0,28,victory
Gold 3,Sunset,Phoenix,sp1cyn00dz,2024,Qtr 2,April,10,4,889,4,3,10,13,15,2,6.5,0,3,1,1.4545454545454546,1,16,87,25,10,0,1,4,1,3,4,2,0,2722,32.4,181.46666666666667,2236,32,11,11,0,73,victory
Gold 3,Sunset,Phoenix,sp1cyn00dz,2024,Qtr 2,May,13,4,386,4,2,8,11,24,13,0.846153846153846,0,10,0,0.9285714285714286,2,13,67,15.517241379310345,8,3,3,1,3,8,5,7,0,2947,-10.041666666666666,122.79166666666667,3188,47,9,14,1,66,defeat
Iron 3,Haven,Viper,a1ex,2022,Qtr 3,August,31,4,797,2,9,8,15,28,13,1.15384615384615,7,3,1,1.4705882352941178,3,25,79,9.090909090909092,8,0,11,2,0,10,27,7,2,4639,46.107142857142854,165.67857142857142,3348,86,9,17,1,58,victory
Iron 3,Pearl,Jett,a1ex,2022,Qtr 3,September,3,4,564,3,4,5,13,20,7,1.85714285714286,5,6,1,0.875,1,14,75,8.771929824561402,5,0,5,0,4,12,16,4,0,2526,-20.45,126.3,2935,44,5,16,1,49,victory
Iron 3,Pearl,Yoru,a1ex,2022,Qtr 3,September,8,4,391,2,4,6,7,20,13,0.538461538461538,3,4,0,1.0714285714285714,3,15,60,11.428571428571429,6,0,6,1,3,8,9,2,0,2540,-18.85,127,2917,50,8,14,0,54,defeat
Platinum 1,Ascent,Brimstone,silver,2024,Qtr 1,March,8,4,804,2,5,10,13,23,10,1.3,3,4,1,1.375,3,22,83,14.285714285714285,10,1,9,1,0,7,38,10,1,3607,8.73913043478261,156.82608695652175,3406,52,10,16,1,62,victory
Platinum 1,Ascent,Killjoy,crocodiledundii,2023,Qtr 3,September,10,4,778,5,6,11,11,24,13,0.846153846153846,0,2,0,0.95,0,19,83,19.736842105263158,11,0,25,2,2,16,8,8,0,4416,37.041666666666664,184,3527,58,15,20,0,66,defeat
Platinum 1,Ascent,Killjoy,silver,2024,Qtr 1,February,21,4,712,5,4,8,6,19,13,0.461538461538462,2,1,0,0.9444444444444444,6,17,79,9.00900900900901,8,0,20,0,1,14,9,5,0,3578,25.842105263157894,188.31578947368422,3087,92,10,18,0,63,defeat
Platinum 1,Ascent,Killjoy,sp1cyn00dz,2024,Qtr 2,April,4,4,433,2,5,8,11,24,13,0.846153846153846,1,8,0,0.9444444444444444,4,17,62,15.942028985507244,8,0,16,2,1,13,4,2,1,3184,-3.7916666666666665,132.66666666666666,3275,58,11,18,1,53,defeat
Platinum 1,Ascent,Phoenix,sp1cyn00dz,2023,Qtr 2,April,21,4,373,2,2,7,7,20,13,0.538461538461538,2,5,0,0.875,3,14,70,13.793103448275861,7,0,1,1,2,12,6,3,1,2610,-45.9,130.5,3528,45,8,16,0,56,defeat
Platinum 1,Ascent,Phoenix,sp1cyn00dz,2024,Qtr 2,June,3,4,400,2,2,11,13,23,10,1.3,0,8,1,0.8888888888888888,1,16,65,27.906976744186046,11,1,0,3,2,4,3,4,0,2733,-49.869565217391305,118.82608695652173,3880,28,12,18,0,44,victory
Platinum 1,Ascent,Raze,shift,2022,Qtr 3,August,20,4,336,4,4,6,8,21,13,0.615384615384615,0,5,0,0.6111111111111112,1,11,62,11.428571428571429,6,1,14,2,3,6,18,8,0,2907,-23.571428571428573,138.42857142857142,3402,60,8,18,0,49,defeat
Platinum 1,Bind,Astra,crocodiledundii,2023,Qtr 3,August,27,4,683,3,2,15,10,23,13,0.769230769230769,3,2,0,1.1764705882352942,1,20,74,34.54545454545455,15,1,14,2,1,7,37,5,0,3828,35.608695652173914,166.43478260869566,3009,33,19,17,0,63,defeat
Platinum 1,Bind,Omen,sp1cyn00dz,2024,Qtr 1,March,9,4,316,0,3,12,13,28,15,0.866666666666667,1,8,0,1,2,20,54,22.413793103448278,12,1,5,0,0,5,33,4,0,3181,-37.642857142857146,113.60714285714286,4235,41,13,20,0,41,defeat
Platinum 1,Bind,Phoenix,justsimple,2022,Qtr 4,November,20,4,474,4,3,8,13,23,10,1.3,2,3,1,0.9411764705882353,1,16,57,12.162162162162163,8,1,6,0,4,22,7,3,1,3535,-10.91304347826087,153.69565217391303,3786,54,9,17,0,67,victory
Platinum 1,Bind,Phoenix,sp1cyn00dz,2024,Qtr 1,March,18,4,127,0,2,4,5,18,13,0.384615384615385,0,8,0,0.5625,3,9,44,9.75609756097561,4,0,0,1,2,5,2,2,0,1923,-75.5,106.83333333333333,3282,36,4,16,0,44,defeat
Platinum 1,Bind,Raze,shift,2022,Qtr 3,September,3,4,556,4,5,9,12,26,14,0.857142857142857,0,6,0,0.8636363636363636,4,19,73,13.698630136986301,9,0,19,3,2,4,20,5,0,3666,-7.769230769230769,141,3868,59,10,22,0,53,defeat
Platinum 1,Bind,Skye,a1ex,2023,Qtr 1,January,9,4,365,5,6,12,12,26,14,0.857142857142857,2,8,0,0.8095238095238095,6,17,69,26.923076923076923,12,1,4,0,2,18,45,9,0,2956,-46.5,113.6923076923077,4165,33,14,21,0,39,defeat
Platinum 1,Breeze,Deadlock,shift,2023,Qtr 3,September,4,4,619,3,7,9,13,21,8,1.625,6,5,1,1.0714285714285714,4,15,71,22,9,0,6,1,2,28,13,5,0,2832,6.666666666666667,134.85714285714286,2692,35,11,14,0,52,victory
