Rank,Map Name,Agent Name,alias,Year,Quarter,Month,Day,Sum of Ultimate Casts,Sum of TRN Performance Score,Sum of Traded,Sum of Thrifty,Sum of Team Aces,Sum of Rounds Won,Sum of Rounds Played,Sum of Rounds Lost,Sum of Round Ratio,Sum of Plants,Sum of Placement,Sum of Match Result Binary,Sum of KD Ratio,Sum of Last Deaths,Sum of Kills,Sum of KAST,Sum of Headshots Percentage,Sum of Headshots,Sum of Flawless,Sum of Grenade Casts,Sum of First Bloods,Sum of First Deaths,Sum of Ability 1 Casts,Sum of Ability 2 Casts,Sum of Assists,Sum of Clutches,Sum of Damage,Sum of Damage Delta Per Round,Sum of Damage Per Round,Sum of Damage Received,Sum of Dealt Bodyshots,Sum of Dealt Headshots,Sum of Deaths,Sum of Defuses,Sum of Econ Rating,Match Result
Platinum 1,Pearl,Phoenix,a1ex,2023,Qtr 1,January,30,7,928,4,6,21,13,28,15,0.866666666666667,2,1,0,1.7,6,34,93,23.423423423423422,21,1,16,5,1,36,28,8,1,6554,57.32142857142857,234.07142857142858,4949,77,26,20,0,78,defeat
Platinum 1,Pearl,Phoenix,crocodiledundii,2023,Qtr 1,March,2,7,831,2,2,17,13,24,11,1.18181818181818,2,1,1,2.2142857142857144,3,31,75,23.75,17,1,11,5,3,22,19,0,0,5030,56,209.58333333333334,3686,59,19,14,1,82,victory
Platinum 2,Lotus,Gekko,shift,2023,Qtr 3,August,9,7,869,5,7,19,12,26,14,0.857142857142857,11,2,0,1.25,3,25,92,26.666666666666668,19,0,15,2,1,15,42,7,1,4945,51.38461538461539,190.19230769230768,3609,52,20,20,2,67,defeat
Platinum 3,Lotus,Gekko,shift,2024,Qtr 1,March,26,7,538,4,5,9,13,24,11,1.18181818181818,8,9,1,1.1428571428571428,4,16,79,21.951219512195124,9,1,11,1,0,18,37,3,2,2406,-13.708333333333334,100.25,2735,30,9,14,4,45,victory
Platinum 3,Split,Brimstone,shift,2023,Qtr 1,March,1,7,1743,9,8,21,26,44,18,3.03896103896104,3,4,2,2.4411764705882355,3,40,177,29.25730608657438,21,3,20,10,4,12,86,22,1,8194,90.44166666666668,368.1583333333333,6060,144,30,33,0,142,victory
Silver 1,Ascent,Killjoy,a1ex,2022,Qtr 3,September,26,7,960,5,9,14,26,43,17,3.06944444444444,6,13,2,1.875,4,30,135,22.932466594438424,14,1,47,2,3,24,14,10,0,4606,-42.55411255411255,214.6125541125541,5515,111,17,32,0,81,victory
Silver 1,Bind,Jett,pphead,2021,Qtr 1,March,10,7,617,5,10,10,19,45,26,1.461538461538461,2,15,0,1.2514619883040936,7,23,129,27.150031387319522,10,2,46,3,6,10,19,14,2,4621,-95.2094861660079,205.12845849802372,6748,89,15,37,0,86,defeat
Silver 1,Fracture,Phoenix,sp1cyn00dz,2023,Qtr 3,July,3,7,646,4,7,15,14,26,12,1.16666666666667,0,3,1,1.3333333333333333,0,24,69,21.686746987951807,15,0,5,4,2,11,8,4,0,4595,6.846153846153846,176.73076923076923,4417,62,18,18,1,63,victory
Silver 2,Ascent,Sova,pphead,2021,Qtr 1,March,22,7,1464,2,4,22,26,43,17,3.15714285714286,3,6,2,2.25,2,31,153,59.94579945799458,22,4,17,8,4,47,69,26,0,8062,86.9304347826087,373.6217391304348,6068,51,26,27,1,144,victory
Silver 2,Bind,Phoenix,sp1cyn00dz,2023,Qtr 3,July,27,7,676,2,4,11,11,24,13,0.846153846153846,0,3,0,1.1764705882352942,2,20,79,14.285714285714285,11,0,1,2,3,9,5,9,1,3734,0.625,155.58333333333334,3719,63,12,17,1,63,defeat
Silver 3,Bind,Killjoy,pphead,2021,Qtr 1,March,29,7,1630,3,5,25,27,43,16,4.41666666666667,1,7,2,3.1294117647058823,6,42,170,36.6078431372549,25,3,51,4,1,30,12,11,4,7900,56.35294117647059,344.4886877828054,6492,114,27,27,1,130,victory
Silver 3,Fracture,Phoenix,sp1cyn00dz,2022,Qtr 3,September,28,7,506,3,7,10,13,24,11,1.18181818181818,1,6,1,1.125,5,18,71,15.873015873015872,10,1,7,3,4,14,8,3,1,3460,-44.416666666666664,144.16666666666666,4526,50,10,16,1,64,victory
Unranked,Bind,Deadlock,shift,2024,Qtr 1,January,10,7,892,4,7,17,13,39,26,1,6,9,0,2.172268907563025,4,32,133,40.75456053067994,17,0,24,3,3,44,19,7,0,5823,-11.147058823529406,286.66042780748666,5670,75,23,31,0,115,defeat
Ascendant 2,Bind,Fade,a1ex,2024,Qtr 2,May,15,6,929,4,10,24,14,26,12,1.16666666666667,1,2,1,1.5263157894736843,2,29,85,41.53846153846154,24,0,23,5,3,7,25,6,0,5721,69.03846153846153,220.03846153846155,3926,35,27,19,0,74,victory
Ascendant 2,Split,Phoenix,a1ex,2024,Qtr 1,February,12,6,969,2,5,22,13,20,7,1.85714285714286,0,1,1,2.142857142857143,0,30,85,32,22,1,3,2,0,16,8,2,0,5035,87.05,251.75,3294,47,24,14,0,95,victory
Ascendant 3,Fracture,Phoenix,a1ex,2023,Qtr 2,May,22,6,787,2,5,22,13,22,9,1.44444444444444,1,1,1,1.75,0,28,64,28.749999999999996,22,2,4,7,7,18,5,3,0,5645,95.31818181818181,256.59090909090907,3548,54,23,16,0,95,victory
Ascendant 3,Haven,Phoenix,a1ex,2023,Qtr 2,May,22,6,555,5,4,17,12,26,14,0.857142857142857,0,4,0,1.0476190476190477,2,22,73,24.705882352941178,17,0,4,4,2,23,10,6,0,4061,-27.576923076923077,156.19230769230768,4778,58,21,21,1,62,defeat
Ascendant 3,Pearl,Phoenix,a1ex,2023,Qtr 2,May,22,6,691,2,6,17,13,24,11,1.18181818181818,0,1,1,1.4705882352941178,0,25,67,27.27272727272727,17,3,4,8,7,20,15,7,0,4709,20.083333333333332,196.20833333333334,4227,43,18,17,1,78,victory
Bronze 2,Icebox,Jett,a1ex,2022,Qtr 3,September,21,6,1352,8,8,12,18,53,35,1.4188034188034189,2,16,0,2.888888888888889,5,44,204,20.741573033707866,12,1,34,9,8,48,35,8,2,7131,-109.43464912280703,378.50701754385966,8563,140,14,45,1,135,defeat
Bronze 3,Bind,Skye,pphead,2021,Qtr 3,September,19,6,588,3,6,14,12,26,14,0.857142857142857,1,5,0,1.105263157894737,2,21,73,24.137931034482758,14,0,7,4,4,16,51,10,0,3485,8.423076923076923,134.03846153846155,3266,37,14,19,0,53,defeat
Bronze 3,Icebox,Killjoy,a1ex,2022,Qtr 3,September,26,6,1205,10,8,11,26,40,14,3.79166666666667,5,9,2,2.229665071770335,3,30,141,17.90990990990991,11,1,49,4,6,16,13,8,2,5068,4.897243107769423,253.55889724310777,5024,129,17,30,0,102,victory
Diamond 2,Haven,Phoenix,a1ex,2023,Qtr 1,February,20,6,765,2,8,21,13,22,9,1.44444444444444,1,2,1,1.7333333333333334,1,26,73,40.67796610169492,21,1,2,7,2,22,7,6,1,4185,10.363636363636363,190.22727272727272,3957,30,24,15,0,68,victory
Diamond 2,Lotus,Gekko,shift,2023,Qtr 2,June,21,6,639,2,3,17,9,22,13,0.692307692307692,7,2,0,1.2941176470588236,0,22,68,31.25,17,0,6,2,2,10,21,4,0,4058,32.18181818181818,184.45454545454547,3350,35,20,17,0,67,defeat
Diamond 2,Sunset,Cypher,pphead,2024,Qtr 2,June,22,6,869,6,4,17,10,23,13,0.769230769230769,0,2,0,1.588235294117647,2,27,83,25,17,1,42,4,0,38,23,7,3,4933,74.52173913043478,214.47826086956522,3219,53,20,17,1,89,defeat
Diamond 3,Lotus,Raze,pphead,2023,Qtr 2,May,25,6,1789,4,5,27,26,39,13,4.225,0,2,2,3.885714285714286,4,46,153,35.51587301587301,27,1,29,7,5,38,36,9,0,8654,202.12698412698413,441.6111111111111,4704,121,28,24,0,184,victory
Gold 1,Ascent,Phoenix,sp1cyn00dz,2023,Qtr 2,May,15,6,773,4,5,12,13,24,11,1.18181818181818,2,1,1,1.1111111111111112,5,20,88,17.20430107526882,12,1,1,3,1,8,4,9,0,4181,-0.625,174.20833333333334,4196,74,16,18,0,63,victory
Gold 1,Ascent,Phoenix,sp1cyn00dz,2024,Qtr 3,September,9,6,679,3,5,10,13,24,11,1.18181818181818,1,2,1,1.2222222222222223,2,22,71,14.772727272727273,10,0,1,4,2,9,4,5,0,4246,10.833333333333334,176.91666666666666,3986,71,13,18,0,75,victory
Gold 1,Bind,Phoenix,sp1cyn00dz,2024,Qtr 3,August,14,6,413,2,3,10,12,26,14,0.857142857142857,0,7,0,0.8235294117647058,5,14,73,18.867924528301888,10,3,3,0,1,8,10,4,0,3134,-38.26923076923077,120.53846153846153,4129,42,10,17,0,47,defeat
Gold 1,Fracture,Phoenix,sp1cyn00dz,2023,Qtr 2,May,15,6,568,4,7,8,11,24,13,0.846153846153846,0,4,0,0.95,2,19,79,13.23529411764706,8,0,1,2,2,12,7,4,0,3257,-36.166666666666664,135.70833333333334,4125,57,9,20,0,55,defeat
Gold 1,Sunset,Phoenix,sp1cyn00dz,2024,Qtr 3,September,10,6,573,5,1,12,9,22,13,0.692307692307692,0,4,0,1.0666666666666667,3,16,82,24.489795918367346,12,2,1,3,1,9,7,4,1,2979,-25.59090909090909,135.4090909090909,3542,34,12,15,1,60,defeat
Gold 2,Bind,Phoenix,sp1cyn00dz,2024,Qtr 3,September,18,6,415,1,4,7,13,24,11,1.18181818181818,0,8,1,1,1,15,62,18.367346938775512,7,1,2,4,2,6,4,4,0,2663,-12.958333333333334,110.95833333333333,2974,36,9,15,0,47,victory
Gold 2,Bind,Raze,shift,2021,Qtr 1,March,26,6,509,3,8,9,13,24,11,1.18181818181818,4,5,1,0.8095238095238095,3,17,58,17.647058823529413,9,1,19,4,3,8,20,8,2,3782,5.125,157.58333333333334,3659,50,12,21,0,51,victory
Gold 2,Fracture,Phoenix,sp1cyn00dz,2022,Qtr 4,November,11,6,505,3,4,15,9,22,13,0.692307692307692,0,4,0,1.1764705882352942,4,20,68,26.153846153846157,15,0,1,2,0,14,5,5,0,3293,-26.772727272727273,149.6818181818182,3882,44,17,17,0,58,defeat
Gold 2,Fracture,Phoenix,sp1cyn00dz,2022,Qtr 4,December,23,6,279,5,2,6,8,21,13,0.615384615384615,0,8,0,0.8235294117647058,1,14,67,19.047619047619047,6,0,1,4,2,12,7,1,0,1942,-61.333333333333336,92.47619047619048,3230,28,8,17,0,34,defeat
Gold 2,Fracture,Phoenix,sp1cyn00dz,2023,Qtr 2,May,6,6,862,3,4,14,13,22,9,1.44444444444444,0,2,1,1.7857142857142858,2,25,82,20.77922077922078,14,2,3,0,1,9,11,4,0,4026,27.272727272727273,183,3426,56,16,14,0,87,victory
Gold 2,Haven,Phoenix,sp1cyn00dz,2022,Qtr 4,December,8,6,512,4,8,15,13,28,15,0.866666666666667,0,6,0,0.9583333333333334,4,23,68,20,15,0,2,2,3,16,9,4,0,4399,-26.75,157.10714285714286,5148,61,17,24,0,50,defeat
