Team 1,Team 2,Gen.G Ending Elo,Match Winner
fnatic,team liquid,2515.88,FNATIC
fnatic,karmine corp,2515.88,FNATIC
fut esports,fnatic,2555.11,FNATIC
team vitality,fnatic,2594.9,FNATIC
fnatic,team vitality,2595.05,FNATIC
fnatic,bilibili gaming,2595.07,FNATIC
fnatic,drx,2594.7,DRX
fnatic,krü esports,2594.75,FNATIC
team heretics,fnatic,2554.87,Team Heretics
g2 esports,fnatic,2592.77,FNATIC
sentinels,fnatic,2554.45,Sentinels
